num_bids,shipping_expenses,timer,winner_modality,winner_num_bids,item_category_encoded,log_bid,log_price,log_winner_expenses,additional_cost_to_win
407,1.0,8,1,37,3,1.6253112615903906,3.58351893845611,1.9183921201614211,1.7300000000000004
568,1.0,8,1,38,3,1.900613874140137,3.713572066704308,1.937301774518713,0.25
75,1.0,5,0,14,3,0.5653138090500605,1.791759469228055,1.340250422618484,2.0600000000000005
1415,1.0,8,0,247,0,2.7186603802142257,4.18950321539533,3.5295905964305545,18.95
30,1.0,10,1,15,3,0.27002713721306015,2.0794415416798357,1.3737155789130306,2.64
136,1.0,8,0,56,3,0.8628899551470398,2.70805020110221,2.2278615467981093,6.910000000000001
84,1.0,7,1,40,0,0.6151856390902335,3.044522437723423,1.9740810260220096,5.3500000000000005
830,5.99,10,1,34,6,2.231089091288976,3.8264651170664994,2.4344901638739844,2.0999999999999996
504,1.0,8,0,7,0,1.80005827204275,4.663344750039164,1.068153081183401,-3.1399999999999997
22,1.0,8,0,1,3,0.20701416938432612,2.3978952727983707,0.7561219797213337,0.8999999999999999
24,1.0,10,1,11,0,0.22314355131420976,1.791759469228055,1.2325602611778486,2.18
155,1.0,8,1,63,0,0.9400072584914712,3.9318256327243257,2.321406847234633,7.629999999999999
57,1.0,10,1,14,0,0.4637340162321401,2.3978952727983707,1.340250422618484,2.2300000000000004
48,1.0,5,0,18,3,0.3987761199573678,1.791759469228055,1.4678743481123135,2.8499999999999996
16628,9.9,8,1,3420,2,5.119728833343189,6.685736095329637,6.121395716700013,288.21000000000004
253,0.0,8,1,76,3,1.264126727145683,3.367295829986474,2.3869262414277967,7.340000000000001
76,1.0,8,1,38,3,0.5709795465857378,3.58351893845611,1.937301774518713,5.17
36,1.0,10,1,16,0,0.31481073984003355,1.791759469228055,1.4060969884160703,2.71
398,7.99,10,0,18,6,1.6074359097634274,4.393213824064446,2.427454075039915,6.34
66,1.0,8,1,32,3,0.5128236264286637,2.70805020110221,1.8180767775454285,4.49
590,1.0,8,0,95,6,1.9329696377795786,4.025173103360802,2.66374994220563,7.4399999999999995
3287,1.0,10,1,1617,3,3.522824869783854,4.9486889658772695,5.357576350422958,178.33
51,0.0,8,0,13,3,0.41871033485818504,2.70805020110221,0.9895411936137477,1.17
31,5.9,8,0,15,1,0.2776317365982795,2.766319109226186,2.180417459019838,7.529999999999999
264,1.0,10,1,32,3,1.2947271675944,3.5832411220909393,1.8180767775454285,2.5100000000000002
144,1.0,10,1,31,0,0.8960880245566356,2.3978952727983707,1.7967470107390942,3.58
131,1.0,8,1,7,3,0.8415671856782186,3.258096538021482,1.068153081183401,0.5899999999999999
134,1.0,8,1,56,3,0.8544153281560676,2.3978952727983707,2.2278615467981093,6.9300000000000015
180,1.0,10,1,27,0,1.0331844833456545,2.3978952727983707,1.706564623164823,2.6999999999999997
120,1.0,10,0,49,3,0.7929925155296614,3.5832411220909393,2.124653884501384,6.16
31,1.0,7,1,16,0,0.2776317365982795,3.044522437723423,1.4060969884160703,2.7600000000000002
19,1.0,10,0,7,0,0.18232155679395465,2.3978952727983707,1.068153081183401,1.71
291,4.99,8,1,32,6,1.366091653802371,5.075173815233827,2.3174737054877963,6.23
317,1.0,10,1,50,3,1.430311246536665,3.5832411220909393,2.1400661634962708,4.32
561,1.0,10,0,28,3,1.890095369948917,4.9486889658772695,1.7298840655099679,-0.9799999999999986
8242,7.99,8,1,88,6,4.424127810692517,6.214608098422191,3.0170044088295307,-63.01
500,1.0,8,1,99,3,1.7934247485471162,2.3978952727983707,2.6993457604720636,8.86
296,7.99,10,0,29,6,1.3787660946990992,4.393213824064446,2.546315277916644,8.79
30,1.0,8,1,15,3,0.27002713721306015,2.70805020110221,1.3737155789130306,2.64
48,1.0,5,0,23,3,0.3987761199573678,1.791759469228055,1.6074359097634274,3.5
53,1.0,10,1,24,0,0.43178241642553783,1.791759469228055,1.6331544390514163,3.58
27,1.0,10,1,14,0,0.25464221837358075,1.791759469228055,1.340250422618484,2.5300000000000002
15,1.0,10,1,7,3,0.14842000511827327,2.0794415416798357,1.068153081183401,1.75
264,5.99,10,1,59,6,1.2947271675944,3.8264651170664994,2.6851226964585053,11.01
16,0.0,8,0,9,3,0.16551443847757338,3.367295829986474,0.7747271675523681,0.99
25,1.0,8,1,4,3,0.23111172096338664,2.3978952727983707,0.9242589015233319,1.26
484,1.0,8,0,161,3,1.766441661243765,2.7073833121145063,3.132446096869813,17.08
96,1.0,8,1,45,3,0.6780335427498971,2.7073833121145063,2.0605135317943173,5.880000000000001
937,1.0,10,1,30,3,2.3398808777377424,3.5832411220909393,1.7749523509116738,-4.48
794,1.0,8,1,148,6,2.191653532286764,3.911822985425479,3.055886196373738,12.29
36,9.9,8,1,15,6,0.31481073984003355,3.9889840465642745,2.553343811341229,11.48
254,1.0,5,0,119,3,1.2669476034873244,1.791759469228055,2.8604851241459652,13.919999999999998
286,7.99,8,1,136,6,1.3532545070416904,5.351858133476067,3.283539338193923,22.8
245,1.0,8,0,37,3,1.2412685890696329,2.3978952727983707,1.9183921201614211,3.3500000000000005
221,1.0,8,1,94,3,1.169381359556317,2.772588722239781,2.6546494243750947,11.0
18,1.0,10,1,9,0,0.173953307123438,1.791759469228055,1.1537315878891892,1.98
1934,4.99,8,1,803,1,3.013080911888604,5.857933154483459,4.703928958011355,90.03
248,0.0,8,1,88,3,1.2499017362143359,3.367295829986474,2.5209170873110334,8.95
514,1.0,8,1,9,3,1.8164520818184267,4.2626798770413155,1.1537315878891892,-2.9800000000000004
470,0.0,8,1,207,3,1.742219023667919,2.70805020110221,3.328985047548231,22.2
144,1.0,10,0,14,3,0.8960880245566356,4.262539022051294,1.340250422618484,1.3700000000000003
42,1.0,8,0,10,3,0.3576744442718159,2.3978952727983707,1.1939224684724346,1.8699999999999999
21,4.99,8,1,8,6,0.1988508587451652,3.58351893845611,1.9501867058225735,5.8100000000000005
1217,4.99,8,1,25,6,2.578700529074361,4.2612704335380815,2.2235418856535927,-3.9399999999999995
80,7.99,8,1,5,6,0.5933268452777344,3.32862668882732,2.265921108622454,7.83
308,0.0,8,1,147,3,1.4085449700547104,2.70805020110221,3.001217203784561,16.02
287,1.0,7,1,36,0,1.355835153635182,3.044522437723423,1.8991179875485542,2.8
147,1.0,10,0,23,3,0.9082585601768908,3.58351893845611,1.6074359097634274,2.5100000000000002
623,1.0,8,1,295,3,1.979621206397625,3.044522437723423,3.6975913947159578,33.11
25,1.0,10,1,11,0,0.23111172096338664,2.3978952727983707,1.2325602611778486,2.17
223,1.0,8,0,25,3,1.1755733298042381,2.3978952727983707,1.6582280766035324,2.01
17103,9.9,8,1,16,2,5.1477270079155355,6.8033942636573945,2.563409711275944,-159.06
13,1.0,10,1,7,0,0.13976194237515868,1.791759469228055,1.068153081183401,1.76
4428,7.99,8,1,73,6,3.8130862575681226,6.4457198193855785,2.916689066213538,-26.81
431,7.99,8,1,202,1,1.6714733033535532,5.634789603169249,3.5624655292582776,29.93
39,1.0,10,1,16,3,0.3435897043900769,2.70805020110221,1.4060969884160703,2.67
16,5.9,8,1,8,1,0.15700374880966475,2.766319109226186,2.0719132752590443,6.7700000000000005
126,1.0,7,1,27,0,0.8197798314933114,3.044522437723423,1.706564623164823,3.2399999999999998
782,1.0,8,1,89,0,2.178155014615869,3.9318256327243257,2.6078614738467776,4.74
186,1.0,10,1,90,0,1.0577902941478545,2.3978952727983707,2.617395832834079,10.82
88,1.0,10,1,39,0,0.636576829071551,1.791759469228055,1.9558604799084813,5.180000000000001
266,1.0,5,0,18,3,1.3001916620664788,1.791759469228055,1.4678743481123135,0.6699999999999999
11,1.0,8,0,1,3,0.11332868530700317,2.3978952727983707,0.7561219797213337,1.0099999999999998
215,1.0,10,1,75,0,1.1505720275988207,2.3978952727983707,2.463853240590168,8.59
396,1.0,8,1,129,3,1.6034198401085373,2.3978952727983707,2.9322598505984176,13.799999999999999
216,4.99,10,1,11,6,1.1537315878891892,3.580737295494233,2.004179057179289,4.25
328,5.9,10,0,1,6,1.4562867329399256,3.039749158970765,1.9501867058225735,2.74
98,5.99,10,1,48,6,0.688134638736401,2.833213344056216,2.5824869781268642,11.24
82,1.0,7,1,38,0,0.6043159668533296,3.044522437723423,1.937301774518713,5.11
56,1.0,8,1,27,3,0.4574248470388754,2.7073833121145063,1.706564623164823,3.9299999999999997
865,1.0,10,1,55,3,2.2679936482244267,4.262539022051294,2.21375387928743,-0.5099999999999998
2072,1.0,8,1,27,6,3.0791538816930633,4.867457524419928,1.706564623164823,-16.229999999999997
61,1.0,8,1,19,3,0.4824261492442927,2.70805020110221,1.4973884086254776,2.85
266,1.0,8,1,59,0,1.3001916620664788,3.9318256327243257,2.269028309465203,6.0
239,1.0,5,0,93,3,1.2237754316221157,1.791759469228055,2.645465325910589,10.69
337,1.0,5,0,65,3,1.4770487243883548,1.791759469228055,2.34660197841082,6.069999999999999
155,1.0,8,1,62,3,0.9400072584914712,2.3978952727983707,2.3085671646715933,7.5
240,1.0,8,1,24,0,1.2267122912954254,4.18950321539533,1.6331544390514163,1.71
1064,4.99,10,1,104,6,2.4553061800117097,4.393213824064446,2.97092715463502,7.860000000000001
174,1.0,8,1,28,3,1.0116009116784799,2.70805020110221,1.7298840655099679,2.8900000000000015
484,1.0,10,1,90,0,1.766441661243765,4.110709916308365,2.617395832834079,7.85
1012,7.99,10,1,33,6,2.4096441652874536,4.393213824064446,2.5862591440482876,2.1499999999999986
3429,7.99,8,1,1112,6,3.563882963939251,5.886104031450156,5.034026246886832,118.25000000000001
76,1.0,10,1,20,3,0.5709795465857378,2.0794415416798357,1.5260563034950494,2.83
43,1.0,10,1,18,0,0.36464311358790924,1.791759469228055,1.4678743481123135,2.9
973,1.0,8,1,58,3,2.3739750890807185,3.258096538021482,2.255493485460195,-1.200000000000001
56,1.0,10,1,10,0,0.4574248470388754,2.3978952727983707,1.1939224684724346,1.7199999999999998
893,1.0,8,1,154,0,2.2975725511705014,4.442533602510535,3.091951131294534,12.07
15,1.0,8,0,4,3,0.14842000511827327,2.3978952727983707,0.9242589015233319,1.36
315,1.0,8,0,11,3,1.425515074273172,3.9318256327243257,1.2325602611778486,-0.73
454,1.0,10,1,159,0,1.713797927758343,2.3978952727983707,3.1210424645194377,17.12
62,1.0,8,1,23,3,0.48858001481867097,2.3978952727983707,1.6074359097634274,3.3600000000000003
246,1.0,10,1,10,0,1.244154593958768,2.3978952727983707,1.1939224684724346,-0.17000000000000037
729,1.0,8,1,18,3,2.1162555148025524,3.4339872044851463,1.4678743481123135,-3.96
810,1.0,7,1,248,0,2.21046980408624,3.044522437723423,3.5333945512735414,25.120000000000005
133,1.0,7,1,59,0,0.8501509293696101,3.044522437723423,2.269028309465203,7.33
48,1.0,7,1,23,0,0.3987761199573678,3.044522437723423,1.6074359097634274,3.5
493,4.99,8,1,76,6,1.7817091333745536,3.634951112088381,2.7644305345383176,9.93
1012,1.0,10,1,102,3,2.4096441652874536,4.9486889658772695,2.725235025856311,4.129999999999999
950,7.99,15,1,46,6,2.3523271848888596,4.509760001183433,2.706048198431537,4.460000000000001
1970,4.99,8,0,527,1,3.030616675407493,5.438079308923196,4.310799125385514,53.79
610,1.0,8,1,47,3,1.9615022438151495,3.9318256327243257,2.093097868127322,1.0
205,1.0,5,0,21,3,1.1184149159642893,1.791759469228055,1.5539252025038417,1.67
42,1.0,10,1,19,0,0.3576744442718159,1.791759469228055,1.4973884086254776,3.04
245,1.0,8,1,10,3,1.2412685890696329,3.5832411220909393,1.1939224684724346,-0.16000000000000014
70,1.0,8,0,32,3,0.5364933705145685,2.70805020110221,1.8180767775454285,4.45
98,1.0,5,0,11,3,0.688134638736401,1.791759469228055,1.2325602611778486,1.4400000000000002
77,1.0,10,1,28,0,0.5766133643039938,2.3978952727983707,1.7298840655099679,3.860000000000001
4875,1.0,8,1,42,3,3.907211448430924,5.5254529391317835,2.0095554142156695,-42.3
25339,7.99,8,1,7048,6,5.538907831465967,6.976348070447749,6.830042355253122,670.83
38,1.0,10,1,18,0,0.3293037471426004,2.3978952727983707,1.4678743481123135,2.9499999999999997
58,7.99,10,1,28,6,0.4700036292457355,3.214867803470662,2.5360749363624,11.030000000000001
226,1.0,8,1,28,6,1.184789984909162,3.911822985425479,1.7298840655099679,2.3700000000000014
299,1.0,8,1,59,3,1.3862943611198906,3.713572066704308,2.269028309465203,5.67
36,0.0,8,1,18,3,0.31481073984003355,2.70805020110221,1.205970806988609,1.9699999999999998
1001,1.0,8,1,48,0,2.400618833265411,4.5107496103686,2.1090003439213802,-2.789999999999999
16,6.9,8,0,3,6,0.15700374880966475,3.039749158970765,2.115049969147204,7.12
224,1.0,8,0,4,3,1.1786549963416462,2.3978952727983707,0.9242589015233319,-0.73
22,1.0,10,1,12,0,0.2151113796169455,1.791759469228055,1.269760544863939,2.3200000000000003
217,1.0,8,0,4,3,1.1568811967920856,2.3978952727983707,0.9242589015233319,-0.6600000000000001
1488,1.0,8,1,10,6,2.7656899805486246,4.875120984409557,1.1939224684724346,-12.59
751,1.0,8,1,231,0,2.1424163408412245,4.18950321539533,3.466672963621067,23.51
99,1.0,7,1,46,0,0.6931471805599453,3.044522437723423,2.0769384114617173,5.98
279,1.0,8,0,14,3,1.33500106673234,2.772588722239781,1.340250422618484,0.020000000000000462
166,1.0,8,1,38,3,0.9820784724121582,2.7073833121145063,1.937301774518713,4.2700000000000005
320,1.0,5,0,68,3,1.43746264769429,1.791759469228055,2.3832429960115,6.63
2302,1.0,8,1,1071,3,3.179719109667007,4.61512051684126,4.9503897670809724,117.19000000000003
55,1.0,10,1,27,3,0.44468582126144574,2.0794415416798357,1.706564623164823,3.9499999999999997
7,1.0,10,1,2,0,0.07696104113612832,1.791759469228055,0.8153648132841945,1.18
293,0.0,8,1,75,3,1.3711807233098425,3.367295829986474,2.3749057545736716,6.8100000000000005
127,5.9,8,1,58,1,0.8241754429663494,2.766319109226186,2.67000213346468,12.16
225,1.0,10,1,41,0,1.1817271953786161,1.791759469228055,1.9919755158985601,4.07
723,1.0,8,1,66,3,2.1090003439213802,3.58351893845611,2.3589654264301534,2.34
292,1.0,8,1,133,3,1.3686394258811698,2.7073833121145063,2.9595868269176377,15.36
43,1.0,8,1,20,3,0.36464311358790924,2.70805020110221,1.5260563034950494,3.16
161,1.0,5,0,36,3,0.9669838461896731,1.791759469228055,1.8991179875485542,4.05
65,1.0,5,0,18,3,0.5068176023684519,1.791759469228055,1.4678743481123135,2.6799999999999997
409,1.0,8,1,45,3,1.62924053973028,4.2626798770413155,2.0605135317943173,2.750000000000001
125,1.0,10,1,57,0,0.8153648132841945,2.3978952727983707,2.2417729535972883,7.15
49,4.99,10,1,22,6,0.4054651081081644,2.5572273113676265,2.180417459019838,7.35
1432,1.0,8,1,54,3,2.7298116928837226,3.713572066704308,2.199444334074532,-6.3100000000000005
153,1.0,8,1,53,3,0.9321640810304452,2.70805020110221,2.1849270495258133,6.350000000000001
341,7.99,8,1,28,6,1.4861396960896067,3.32862668882732,2.5360749363624,8.21
356,1.0,10,1,171,0,1.5195132049061133,2.3978952727983707,3.1875915348284343,19.66
459,1.0,8,1,34,3,1.7227665977411035,3.58351893845611,1.8594181177018698,0.8200000000000003
2913,1.0,8,1,601,3,3.4058531931983493,4.663344750039164,4.383650315789979,49.99000000000002
2147,1.0,8,1,141,3,3.1126260250254902,3.4339872044851463,3.012097627640255,-2.150000000000002
164,1.0,6,1,11,3,0.9745596399981308,4.9486889658772695,1.2325602611778486,0.7800000000000002
428,1.0,8,1,135,3,1.665818245870208,2.3978952727983707,2.972975286431375,14.260000000000002
27,0.0,8,1,6,3,0.25464221837358075,2.70805020110221,0.5766133643039938,0.49000000000000005
37,1.0,7,1,18,0,0.32208349916911333,3.044522437723423,1.4678743481123135,2.96
22,7.99,10,1,5,6,0.2151113796169455,3.173878458937465,2.265921108622454,8.4
251,7.9,10,1,79,6,1.2584609896100056,2.9391619220655967,2.9533465570575532,15.650000000000002
92,5.99,10,0,43,7,0.6626879730752367,3.4339872044851463,2.5321082512722946,10.64
538,1.0,8,0,57,6,1.8547342683894434,4.025173103360802,2.2417729535972883,3.0200000000000005
28,5.9,8,1,13,1,0.26236426446749106,2.766319109226186,2.150598735996164,7.29
1156,7.99,8,1,11,4,2.531313022602156,5.19295685089021,2.343727036325221,-2.1500000000000004
231,1.0,10,1,108,0,1.199964782928397,2.3978952727983707,2.7750856024383683,12.719999999999999
146,4.99,10,1,17,6,0.9042181506398859,3.711130063048756,2.1041341542702074,5.73
197,1.0,8,1,14,3,1.091923300517313,2.3978952727983707,1.340250422618484,0.8400000000000003
31,1.0,10,1,16,0,0.2776317365982795,1.791759469228055,1.4060969884160703,2.7600000000000002
115,1.0,8,0,17,3,0.7747271675523681,3.258096538021482,1.43746264769429,2.04
66,1.0,10,1,25,0,0.5128236264286637,1.791759469228055,1.6582280766035324,3.58
417,1.0,8,0,25,0,1.6448050562713916,3.9318256327243257,1.6582280766035324,0.07000000000000028
139,1.0,8,1,57,3,0.8754687373538999,3.9318256327243257,2.2417729535972883,7.01
218,4.99,10,1,48,6,1.1600209167967532,3.58351893845611,2.503891949699081,9.040000000000001
55,1.0,10,1,27,3,0.4510756193602167,3.367295829986474,1.706564623164823,3.94
954,1.0,8,1,80,3,2.3561258599220753,3.58351893845611,2.517696472610991,1.8499999999999996
108,1.0,10,1,47,0,0.7371640659767197,2.3978952727983707,2.093097868127322,6.0200000000000005
250,1.0,8,0,69,0,1.2556160374777743,3.9318256327243257,2.395164274287139,7.460000000000001
376,4.99,8,0,37,1,1.56234630490025,3.711130063048756,2.379546134130174,6.030000000000001
169,1.0,7,1,19,0,0.9932517730102833,3.044522437723423,1.4973884086254776,1.7700000000000002
145,1.0,8,1,59,3,0.9001613499442714,2.3978952727983707,2.269028309465203,7.21
13,1.0,10,0,3,3,0.13976194237515868,2.0794415416798357,0.8712933659434192,1.24
371,4.99,8,1,106,6,1.551808799597464,4.2612704335380815,2.984165637182526,15.050000000000002
503,1.0,8,1,34,3,1.7984040119467235,4.262539022051294,1.8594181177018698,0.3799999999999999
2177,4.99,8,1,1072,6,3.126321843257593,5.3471075307174685,4.979144627004885,122.56000000000006
145,1.0,10,0,12,3,0.9001613499442714,4.262539022051294,1.269760544863939,1.1
76,1.0,8,0,3,3,0.5709795465857378,2.7073833121145063,0.8712933659434192,0.6199999999999999
976,1.0,8,0,11,0,2.377692565480851,4.663344750039164,1.2325602611778486,-7.35
180,1.0,5,0,8,3,1.0331844833456545,1.791759469228055,1.1118575154181303,0.22999999999999998
19,1.0,10,1,9,0,0.18232155679395465,2.3978952727983707,1.1537315878891892,1.97
1050,1.0,8,1,516,0,2.4432162227337915,3.9318256327243257,4.235265253278478,57.57
527,1.0,10,1,116,0,1.8373699804801074,4.110709916308365,2.837908188360424,10.799999999999997
889,1.0,8,1,61,0,2.2925347571405443,5.081342251254203,2.295560478057081,0.02999999999999936
25,1.0,8,1,10,3,0.23111172096338664,2.3978952727983707,1.1939224684724346,2.04
726,1.0,8,1,176,3,2.1126345090356,2.772588722239781,3.214064267870979,16.61000000000001
2897,4.99,10,1,4,1,3.4005304926744517,5.298317366548036,1.873339456220478,-23.47
284,1.0,6,1,12,3,1.3480731482996928,4.9486889658772695,1.269760544863939,-0.29000000000000004
112,5.9,10,1,54,6,0.76080582903376,3.039749158970765,2.6333266549062735,11.780000000000001
408,1.0,10,1,170,0,1.6272778305624314,2.3978952727983707,3.1822118404966093,19.01
231,4.99,10,1,104,6,1.199964782928397,3.4307561839036995,2.97092715463502,16.19
96,0.0,8,0,17,3,0.6780335427498971,3.367295829986474,1.1662709371419244,1.24
96,1.0,8,0,19,3,0.6780335427498971,3.4339872044851463,1.4973884086254776,2.5
278,1.0,8,1,51,3,1.332366019094335,3.044522437723423,2.1552445050953364,4.84
726,1.0,8,0,19,3,2.1126345090356,4.61512051684126,1.4973884086254776,-3.7999999999999994
39,1.0,10,0,4,0,0.33647223662121295,1.791759469228055,0.9242589015233319,1.12
134,1.0,5,0,3,3,0.8544153281560676,1.791759469228055,0.8712933659434192,0.039999999999999813
32,1.0,8,1,16,3,0.2851789422336624,2.7073833121145063,1.4060969884160703,2.75
304,4.99,8,1,23,6,1.3987168811184478,4.02535169073515,2.194999882314108,4.930000000000001
306,0.0,10,0,23,3,1.4036429994545037,3.7612001156935624,1.3837912309017721,-0.07999999999999963
28,1.0,10,1,11,0,0.26236426446749106,1.791759469228055,1.2325602611778486,2.1300000000000003
110,1.0,5,0,16,3,0.7466879474879752,1.791759469228055,1.4060969884160703,1.97
83,1.0,7,1,41,0,0.6097655716208943,3.044522437723423,1.9919755158985601,5.49
16,1.0,10,1,6,3,0.15700374880966475,4.9486889658772695,1.0224509277025458,1.61
77,1.0,8,1,37,3,0.5766133643039938,2.70805020110221,1.9183921201614211,5.03
166,1.0,10,0,17,3,0.9820784724121582,4.9486889658772695,1.43746264769429,1.54
301,0.0,8,1,107,3,1.3912819026309298,3.367295829986474,2.702032128776647,10.89
1280,5.99,8,1,11,6,2.6253929674212007,5.278114659230517,2.130609828254235,-5.390000000000001
634,1.0,8,1,17,3,1.9947003132247452,3.258096538021482,1.43746264769429,-3.1399999999999997
50,1.0,8,1,24,3,0.412109650826833,2.3978952727983707,1.6331544390514163,3.6100000000000003
128,1.0,10,1,13,3,0.8285518175661483,4.262539022051294,1.3056264580524357,1.4
2316,9.9,8,1,18,4,3.1855258451866466,5.1647859739235145,2.5832425505088623,-10.94
268,1.0,6,0,39,3,1.3056264580524357,4.9486889658772695,1.9558604799084813,3.3800000000000003
2766,4.99,8,1,1136,6,3.3562000157314196,5.673323267171493,5.034807446067242,124.99000000000004
508,1.0,8,1,55,3,1.8066480817218056,3.258096538021482,2.21375387928743,3.0600000000000005
50,1.0,7,1,25,0,0.412109650826833,3.044522437723423,1.6582280766035324,3.74
256,1.0,8,1,12,0,1.2725655957915476,4.61512051684126,1.269760544863939,-0.009999999999999787
174,1.0,12,1,33,3,1.0116009116784799,4.9486889658772695,1.8389610707123492,3.54
139,0.0,6,1,19,3,0.8754687373538999,4.61512051684126,1.244154593958768,1.0700000000000003
57,1.0,10,1,27,0,0.4637340162321401,2.3978952727983707,1.706564623164823,3.92
51,1.0,8,1,6,3,0.41871033485818504,2.3978952727983707,1.0224509277025458,1.26
50,1.0,8,1,25,3,0.412109650826833,2.70805020110221,1.6582280766035324,3.74
163,1.0,10,1,17,3,0.9707789171582247,4.9486889658772695,1.43746264769429,1.57
235,4.99,10,1,114,6,1.2119409739751128,3.292126286607793,3.035433640405543,17.45
